country,population,date,active_cases,cases_per_million,total_cases,deaths_per_million,total_deaths,tests_per_million,total_tests,CFR
Morocco,37772756,2026-02-16,0,33860,1278992,432,16303,344191,13001033,1.2746756820996534
Lebanon,6684849,2026-02-16,145299,186068,1243838,1638,10952,717380,4795578,0.8805005153404221
Costa-Rica,5182354,2026-02-16,0,239058,1238883,1819,9428,899158,4659757,0.7610081016528599
Bolivia,11992656,2026-02-16,12579,101073,1212131,1868,22407,225993,2710261,1.8485625728572244
Tunisia,12046656,2026-02-16,0,95741,1153361,2442,29423,416164,5013383,2.551065971538833
Cuba,11305652,2026-02-16,61,98645,1115251,754,8530,1273936,14402674,0.7648502444741139
Ecuador,18113361,2026-02-16,0,59083,1070188,1990,36043,170173,3082403,3.3679129274482613
UAE,10081785,2026-02-16,0,105837,1067030,233,2349,19910389,200732262,0.2201437635305474
Panama,4446964,2026-02-16,64,238341,1059893,1962,8727,1772585,7882622,0.8233850020709638
Uruguay,3496016,2026-02-16,2503,297799,1041111,2192,7664,1749083,6114822,0.7361366847531147
Mongolia,3378078,2026-02-16,0,299429,1011496,676,2284,1193000,4030048,0.22580415542918608
Nepal,30225582,2026-02-16,97,33199,1003450,398,12031,200088,6047766,1.1989635756639594
Latvia,1848837,2026-02-16,4384,531418,982505,3632,6715,4265272,7885792,0.6834570816433504
Saudi-Arabia,35844909,2026-02-16,0,23475,841469,269,9646,1268848,45481735,1.1463286229201552
Paraguay,7305843,2026-02-16,0,114648,837602,2759,20155,363751,2657506,2.4062741015422597
Azerbaijan,10300205,2026-02-16,745,81089,835234,1010,10400,752223,7748050,1.2451600389830875
Bahrain,1783983,2026-02-16,60,408944,729549,882,1574,6137138,10948549,0.2157497303128371
Cyprus,1223387,2026-02-16,0,556741,681110,1116,1365,7879860,9640118,0.20040815727268724
Dominican-Republic,11056370,2026-02-16,190,61131,675890,397,4384,338350,3740928,0.6486262557516755
Sri-Lanka,21575842,2026-02-16,5,31181,672754,783,16897,300619,6486117,2.5116164303742528
Kuwait,4380326,2026-02-16,0,152308,667158,587,2570,1930391,8455743,0.3852160957374415
Myanmar,55227143,2026-02-16,2219,11622,641873,353,19495,212061,11711514,3.0372051792176955
Moldova,4013171,2026-02-16,0,158265,635145,3044,12218,801437,3216305,1.9236552283336876
Estonia,1321910,2026-02-16,0,475123,628070,2270,3001,5271239,6968103,0.4778129826293247
Palestine,5345541,2026-02-16,159,116173,621008,1011,5404,575907,3078533,0.8701981294926957
Jordan,10300869,2026-02-16,1868,169597,1746997,1371,14122,1669945,17201885,0.8083585718807761
South-Africa,60756135,2026-02-16,61362,67095,4076463,1689,102595,441027,26795090,2.5167651466479644
Ukraine,43192122,2026-02-16,0,128681,5557995,2603,112418,754855,32603805,2.0226358605936134
Taiwan,23888595,2026-02-16,0,428720,10241523,796,19005,1286903,30742304,0.18556810349398228
Argentina,46010234,2026-02-16,746,220143,10128845,2844,130841,776264,35716069,1.2917662379076786
Netherlands,17211447,2026-02-16,195,501747,8635786,1336,22992,1509718,25984435,0.2662409652115048
Mexico,131562772,2026-02-16,467986,58549,7702809,2546,334958,152124,20013810,4.348517534317676
Iran,86022837,2026-02-16,0,88665,7627186,1707,146811,666338,57320267,1.9248383348721272
Indonesia,279134505,2026-02-16,20054,24466,6829221,581,162063,408975,114158919,2.373081790734258
Poland,37739785,2026-02-16,0,176524,6661991,3196,120598,1041970,39323709,1.8102396115515618
Colombia,51512762,2026-02-16,44821,124244,6400173,2780,143200,717327,36951507,2.2374395192129963
Greece,10316637,2026-02-16,0,591412,6101379,3671,37869,9909078,102228365,0.6206629681585097
Austria,9066710,2026-02-16,3811,670727,6081287,2486,22542,23302116,211273524,0.3706781146819744
Portugal,10140570,2026-02-16,127,556484,5643062,2774,28126,4549993,46139518,0.4984173485954965
Chile,19250195,2026-02-16,67906,279730,5384853,3350,64497,2617225,50382097,1.1977485736379432
Malaysia,33181072,2026-02-16,7790,159079,5278406,1126,37348,2066869,68580916,0.7075620935562744
Canada,38388419,2026-02-16,5744,128843,4946090,1538,59034,1734189,66572774,1.1935488436320407
Belgium,11668278,2026-02-16,521,416659,4861695,2946,34376,3209915,37454182,0.7070784983426562
